ProblemName,Seed,T_combined,T_combined-no-flowcover-no-mir,N_combined,N_combined-no-flowcover-no-mir,DI_combined,DI_combined-no-flowcover-no-mir,Gap_combined,Gap_combined-no-flowcover-no-mir,GapQ_combined,GapQ_combined-no-flowcover-no-mir,TQ_combined,TQ_combined-no-flowcover-no-mir,NQ_combined,NQ_combined-no-flowcover-no-mir,DIQ_combined,DIQ_combined-no-flowcover-no-mir
decomp2,2,2.5,2.43,1,1,125.0,120.0,0.0,0.0,0.0,0.0,1.02880658436214,1.0,1.0,1.0,1.0416666666666667,1.0
drayage-100-23,0,16.43,16.49,32,32,303.7752256149986,304.37475066752916,0.0,0.0,0.0,0.0,0.9963614311704064,1.0,1.0,1.0,0.99803030622213,1.0
drayage-100-23,1,19.52,19.62,48,48,298.54528306702053,307.08392200455137,0.0,0.0,0.0,0.0,0.9949031600407746,1.0,1.0,1.0,0.9721944448221412,1.0
drayage-100-23,2,13.5,13.51,16,16,276.58665329760555,272.3049515995711,0.0,0.0,0.0,0.0,0.999259807549963,1.0,1.0,1.0,1.0157239215551643,1.0
drayage-25-23,0,7200.0,7200.0,720814,722507,1530.66314982333,1528.640706630632,0.07,0.07,1.0,1.0,1.0,1.0,0.9976567701074176,1.0,1.0013230337148067,1.0
drayage-25-23,1,7200.0,7200.0,790871,798785,940.2790696522105,944.4780150048573,0.07,0.07,1.0,1.0,1.0,1.0,0.9900924529128614,1.0,0.9955542158886301,1.0
drayage-25-23,2,6941.84,6880.95,552534,552534,1277.0347172139345,1262.0208487243824,0.0,0.0,0.0,0.0,1.0088490688059062,1.0,1.0,1.0,1.0118966881606812,1.0
dws008-01,0,7200.0,7200.0,144766,137095,275072.23956510815,271184.0137745772,44.84,46.68,0.9605826906598116,1.0,1.0,1.0,1.05595390057989,1.0,1.0143379609159524,1.0
dws008-01,1,7200.0,7200.0,157395,176861,262978.3312515146,271687.15308290103,44.28,48.4,0.9148760330578513,1.0,1.0,1.0,0.8899361645586081,1.0,0.9679454043646699,1.0
dws008-01,2,7200.0,7200.0,153108,167529,281202.08588068804,277864.1213707147,52.63,47.52,1.10753367003367,1.0,1.0,1.0,0.9139193811220744,1.0,1.0120129381710279,1.0
eil33-2,0,81.2,78.12,343,343,933.6795582576123,900.5219883939327,0.0,0.0,0.0,0.0,1.039426523297491,1.0,1.0,1.0,1.036820388942213,1.0
eil33-2,1,101.92,101.86,395,395,1109.1921272024756,1110.182745256295,0.0,0.0,0.0,0.0,1.000589043785588,1.0,1.0,1.0,0.9991076982072976,1.0
eil33-2,2,105.72,103.61,541,541,962.4049616213214,943.895481905092,0.0,0.0,0.0,0.0,1.0203648296496477,1.0,1.0,1.0,1.019609670849225,1.0
eilA101-2,0,7200.0,7200.0,11110,11042,61136.06694037233,61161.95244518135,20.05,20.05,1.0,1.0,1.0,1.0,1.0061583046549538,1.0,0.9995767711171055,1.0
eilA101-2,1,7200.0,7200.0,12688,12903,59691.95840256153,59674.3087609257,13.2,13.19,1.0007581501137226,1.0,1.0,1.0,0.983337208401147,1.0,1.0002957661680933,1.0
eilA101-2,2,7200.0,7200.0,13480,14025,60355.81189969616,60240.816531248965,13.37,13.37,1.0,1.0,1.0,1.0,0.9611408199643494,1.0,1.0019089277846613,1.0
enlight_hard,0,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
enlight_hard,1,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
enlight_hard,2,0.5,0.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ex10,0,493.8,494.11,1,1,24700.0,24700.0,0.0,0.0,0.0,0.0,0.9993726093380016,1.0,1.0,1.0,1.0,1.0
ex10,1,497.94,501.07,1,1,24900.0,25050.0,0.0,0.0,0.0,0.0,0.9937533677929231,1.0,1.0,1.0,0.9940119760479041,1.0
ex10,2,581.12,577.37,1,1,29050.0,28850.0,0.0,0.0,0.0,0.0,1.006494968564352,1.0,1.0,1.0,1.0069324090121317,1.0
ex9,0,27.98,27.83,1,1,1400.0,1390.0,0.0,0.0,0.0,0.0,1.0053898670499462,1.0,1.0,1.0,1.0071942446043165,1.0
ex9,1,27.3,27.26,1,1,1365.0,1365.0,0.0,0.0,0.0,0.0,1.0014673514306676,1.0,1.0,1.0,1.0,1.0
ex9,2,27.02,27.82,1,1,1350.0,1390.0,0.0,0.0,0.0,0.0,0.9712437095614666,1.0,1.0,1.0,0.9712230215827338,1.0
exp-1-500-5-5,0,2.28,2.27,1,1,11.236599025604445,11.079838207840698,0.0,0.0,0.0,0.0,1.0044052863436121,1.0,1.0,1.0,1.0141482948417797,1.0
exp-1-500-5-5,1,2.22,2.21,1,1,11.534146341463414,10.731624599693415,0.0,0.0,0.0,0.0,1.0045248868778283,1.0,1.0,1.0,1.0747810114223457,1.0
exp-1-500-5-5,2,2.21,2.24,1,1,10.800395373897736,11.260614385235328,0.0,0.0,0.0,0.0,0.9866071428571428,1.0,1.0,1.0,0.9591302041262489,1.0
fast0507,0,322.23,318.59,1284,1284,580.8892862068959,577.5561373563212,0.0,0.0,0.0,0.0,1.011425342917229,1.0,1.0,1.0,1.005771125324426,1.0
fast0507,1,280.17,276.89,1223,1223,550.1830798850568,551.7821770114936,0.0,0.0,0.0,0.0,1.0118458593665356,1.0,1.0,1.0,0.9971019413220311,1.0
fast0507,2,365.44,360.83,1711,1711,604.7471241379305,600.892845977011,0.0,0.0,0.0,0.0,1.0127760995482638,1.0,1.0,1.0,1.0064142520363222,1.0
fastxgemm-n2r6s0t2,0,4702.82,4242.55,1118937,988905,326247.55928434775,303577.8079965217,0.0,0.0,0.0,0.0,1.1084889983618342,1.0,1.1314908914405326,1.0,1.074675258502709,1.0
